strain,type,rating,effects,flavor
Charlie-Sheen,hybrid,4.6,"Happy,Euphoric,Relaxed,Sleepy,Focused","Lemon,Sweet,Pine"
Charlottes-Web,sativa,4.5,"Relaxed,Uplifted,Focused,Happy,Energetic","Flowery,Sweet,Earthy"
Cheese,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Pungent,Cheese,Earthy"
Cheese-Candy,hybrid,4.3,"Relaxed,Uplifted,Happy,Sleepy,Creative","Pungent,Cheese,Sweet"
Cheese-Quake,hybrid,4.3,"Euphoric,Uplifted,Relaxed,Tingly,Happy","Citrus,Rose,Ammonia"
Cheeseburger,hybrid,3.3,"Tingly,Uplifted,Relaxed,Aroused,Creative","Cheese,Pepper,Tea"
Cheesewreck,hybrid,4.3,"Happy,Relaxed,Uplifted,Creative,Euphoric","Pungent,Cheese,Woody"
Chem-Crush,hybrid,4.1,"Talkative,Energetic,Happy,Creative,Uplifted","Pungent,Sweet,Earthy"
Chem-Dog,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Citrus,Sweet,Lavender"
Chem-Jack,hybrid,5.0,"Talkative,Uplifted,Creative,Happy,Aroused","Flowery,Sweet,Earthy"
Chem-Jong-Ill,hybrid,5.0,"Uplifted,Creative,Happy,Talkative,Energetic","Flowery, Lemon, Chemical"
Chem-Scout,indica,4.5,"Relaxed,Euphoric,Focused,Happy,Creative","Tea,Skunk,Earthy"
Chem-Valley-Kush,hybrid,4.3,"Relaxed,Euphoric,Happy,Tingly,Sleepy","Diesel,Pine,Earthy"
Chemdawg,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Creative","Pungent,Diesel,Earthy"
Chemdawg-4,hybrid,4.4,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Diesel,Lemon,Pine"
Chemdawg-4-X-Alien-Og-Kush,hybrid,4.5,"Relaxed,Energetic,Happy,Euphoric,Creative","Nutty,Minty,Flowery"
Chemdawg-91,hybrid,4.5,"Euphoric,Uplifted,Relaxed,Happy,Tingly","Pungent,Diesel,Earthy"
Chemdawg-Sour-Diesel,hybrid,4.5,"Uplifted,Happy,Euphoric,Relaxed,Energetic","Pungent,Diesel,Pine"
Chemmy-Jones,hybrid,4.7,"Happy,Relaxed,Euphoric,Creative,Uplifted","Flowery,Pine,Earthy"
Chemnesia,hybrid,4.8,"Uplifted,Euphoric,Relaxed,Happy,Energetic","Citrus,Diesel,Sweet"
Chemo,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Woody,Pine,Earthy"
Chems-Sister,sativa,4.5,"Creative,Euphoric,Happy,Focused,Relaxed","Chemical,Citrus,Pungent"
Chemwreck,hybrid,4.6,"Uplifted,Talkative,Happy,Relaxed,Energetic","Chemical,Diesel,Pungent"
Chernobyl,hybrid,4.4,"Happy,Euphoric,Relaxed,Energetic,Uplifted","Citrus,Lemon,Lime"
Cherries-Jubilee,indica,4.4,"Euphoric,Uplifted,Relaxed,Happy,Creative","Sage,Berry,Woody"
Cherry-Ak-47,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Focused","Berry,Sweet,Earthy"
Cherry-Bomb,hybrid,4.3,"Focused,Talkative,Happy,Uplifted,Relaxed","Berry,Pungent,Skunk"
Cherry-Cookies,hybrid,4.6,"Happy,Uplifted,Euphoric,Relaxed,Focused","Berry,Pungent,Sweet"
Cherry-Cream-Pie,hybrid,4.3,"Relaxed,Euphoric,Creative,Energetic,Uplifted","Chemical,Pungent,Sweet"
Cherry-Diesel,hybrid,4.7,"Relaxed,Euphoric,Energetic,Happy,Uplifted","Berry,Citrus,Sweet"
Cherry-Durban-Poison,hybrid,4.3,"Uplifted,Giggly,Sleepy,Aroused,Euphoric","Citrus,Flowery,Sweet"
Cherry-Fire,hybrid,4.7,"Calm, Uplifted, Hungry, Creative"," Sweet, Fruity,Earthy"
Cherry-Grapefruit,hybrid,4.3,"Creative,Happy,Relaxed,Tingly,Uplifted","Berry,Flowery,Sweet"
Cherry-Kola,indica,4.7,"Relaxed,Euphoric,Happy,Giggly,Tingly","Berry,Pungent,Sweet"
Cherry-Kush,hybrid,4.2,"Relaxed,Uplifted,Euphoric,Happy,Creative","Berry,Sweet,Earthy"
Cherry-Limeade,hybrid,4.3,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Citrus,Sweet,Lime"
Cherry-Og,hybrid,4.2,"Euphoric,Relaxed,Happy,Uplifted,Hungry","Berry,Diesel,Sweet"
Cherry-Pie,hybrid,4.4,"Happy,Relaxed,Euphoric,Uplifted,Focused","Berry,Sweet,Earthy"
Cherry-Pie-Kush,hybrid,4.2,"Happy,Relaxed,Euphoric,Giggly,Sleepy","Berry,Sweet,Lavender"
Cherry-Sauce,hybrid,5.0,"Talkative,Tingly,Uplifted,Creative,Energetic","Spicy,Herbal, Sweet, Flowery"
Cherry-Sherbet,hybrid,4.3,"Sleepy,Giggly,Aroused,Talkative,Tingly","Berry,Diesel,Sweet"
Cherry-Skunk,hybrid,4.4,"Relaxed,Happy,Uplifted,Aroused,Hungry","Sweet,Skunk,Earthy"
Cherry-Slyder,hybrid,4.7,"Focused,Uplifted,Happy,Relaxed","Sweet,Pine,Earthy"
Cherry-Thunder-Fuck,hybrid,4.8,"Uplifted,Happy,Energetic,Euphoric,Focused","Berry,Pungent,Earthy"
Cherwillie,hybrid,5.0,"Creative,Energetic,Happy,Relaxed,Focused","Citrus,Strawberry,Sweet"
Chicle,hybrid,5.0,"Aroused,Euphoric,Focused,Happy,Hungry","Ammonia,Diesel,Minty"
Chiesel,hybrid,4.4,"Happy,Euphoric,Relaxed,Uplifted,Focused","Cheese,Pungent,Diesel"
China-Yunnan,indica,4.3,"Uplifted,Happy,Relaxed,Euphoric,Sleepy","Cheese,Sweet,Earthy"
Chiquita-Banana,hybrid,4.9,"Happy,Euphoric,Uplifted,Relaxed,Creative","Lemon,Orange,Sweet"
Chloe,hybrid,4.9,"Creative,Euphoric,Uplifted,Talkative,Focused","Earthy, Spicy,Herbal, Sweet"
Chocoholic,hybrid,4.6,"Relaxed, Hungry, Sleepy","Berry, Sweet, Fruity"
Chocolate-Chunk,indica,4.2,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Woody,Sweet,Earthy"
Chocolate-Diesel,sativa,4.6,"Euphoric,Energetic,Happy,Creative,Uplifted","Nutty,Diesel,Woody"
Chocolate-Drop,hybrid,5.0,"Uplifted,Euphoric,Giggly,Happy,Relaxed","Vanilla,Earthy"
Chocolate-Fondue,sativa,4.6,"Uplifted,Relaxed,Happy,Euphoric,Focused","Cheese,Sweet,Earthy"
Chocolate-Hashberry,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Berry,Sweet,Earthy"
Chocolate-Kush,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Woody,Sweet,Earthy"
Chocolate-Meringue,indica,4.6,"Social, Hungry, Euphoric"," Earthy,Lemon, Sweet"
Chocolate-Og,indica,4.8,"Relaxed,Uplifted,Euphoric,Aroused,Tingly","Pungent,Sweet,Earthy"
Chocolate-Rain,hybrid,5.0,"Creative,Happy,Talkative,Uplifted,Energetic","Coffee,Sweet,Vanilla"
Chocolate-Sap,hybrid,4.5,"Talkative,Uplifted,Energetic,Happy,Euphoric","Chemical,Citrus,Skunk"
Chocolate-Thai,sativa,4.2,"Uplifted,Happy,Energetic,Focused,Creative","Spicy,Herbal, Coffee, Woody"
Chocolate-Thunder,sativa,4.1,"Uplifted,Creative,Happy,Energetic,Focused","Honey, Nutty, Spicy,Herbal"
Chocolate-Tonic,hybrid,4.6,"Relaxed, Happy, Creative, Uplifted"," Earthy, Herbal,Sweet"
Chocolope,sativa,4.3,"Happy,Uplifted,Energetic,Focused,Euphoric","Coffee,Sweet,Earthy"
Chocolope-Kush,hybrid,4.0,"Happy,Creative,Focused,Uplifted,Euphoric","Sweet,Vanilla,Earthy"
Chong-Star,hybrid,4.5,"Relaxed,Happy,Uplifted,Creative,Euphoric","Honey,Skunk,Earthy"
Chr-Super-Og,indica,4.3,"Relaxed,Giggly,Sleepy,Happy,Talkative","Diesel,Sweet,Skunk"
Chronic,hybrid,4.4,"Relaxed,Happy,Giggly,Euphoric,Energetic","Woody, Spicy,Herbal, Sweet"
Chronic-Thunder,indica,4.5,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Pungent,Diesel,Sweet"
Chuckys-Bride,hybrid,4.6,"Giggly,Happy,Energetic,Euphoric,Talkative","Pungent,Flowery,Lemon"
Chunky-Diesel,hybrid,4.6,"Energetic,Relaxed,Euphoric,Uplifted,Happy","Pungent,Diesel,Earthy"
Chupacabra,hybrid,4.8,"Focused,Relaxed,Happy,Uplifted,Energetic","Sweet,Vanilla,Earthy"
Church-Og,indica,4.1,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Lemon,Sweet,Pine"
Cinderella-99,hybrid,4.4,"Euphoric,Uplifted,Happy,Energetic,Relaxed","Citrus,Sweet,Earthy"
Cinderellas-Dream,hybrid,4.4,"Euphoric,Uplifted,Energetic,Focused,Creative","Citrus,Pepper,Sweet"
Cindy-White,hybrid,4.6,"Happy,Euphoric,Uplifted,Relaxed,Talkative","Citrus,Lemon,Earthy"
Cinex,sativa,4.3,"Energetic,Uplifted,Happy,Focused,Euphoric","Citrus,Sweet,Earthy"
Cirrus,sativa,5.0,"Uplifted,Happy,Talkative,Euphoric,Creative","Menthol,Diesel,Grape"
Citrix,hybrid,4.3,"Happy,Euphoric,Uplifted,Relaxed,Energetic","Grapefruit,Citrus,Lemon"
Citrus-Kush,hybrid,4.2,"Relaxed,Happy,Euphoric,Tingly,Uplifted","Citrus,Orange,Sweet"
Citrus-Punch,sativa,4.2,"Uplifted,Happy,Relaxed,Euphoric,Giggly","Citrus,Orange,Tropical"
Citrus-Sap,hybrid,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Pungent,Citrus,Orange"
Citrus-Sunshine-Haze,hybrid,4.8,"Happy,Uplifted,Focused,Creative,Energetic","Citrus,Lemon,Orange"
Clementine,sativa,4.3,"Happy,Energetic,Focused,Uplifted,Euphoric","Citrus,Orange,Sweet"
Clementine-Kush,hybrid,4.4,"Happy,Euphoric,Relaxed,Giggly,Tingly","Citrus,Flowery,Orange"
Clementines-Terpentine,hybrid,5.0,"Aroused,Uplifted,Creative,Focused,Happy","Sweet,Pine,Earthy"
Clockwork-Orange,hybrid,5.0,"Relaxed,Happy,Uplifted,Hungry,Aroused","Spicy,Herbal, Sweet, Citrus"
Cloud-9,hybrid,4.3,"Euphoric,Energetic,Happy,Giggly,Relaxed","Flowery,Rose,Tropical"
Club-69,indica,5.0,"Sleepy,Relaxed","Diesel,Flowery,Earthy"
Cluster-Bomb,hybrid,4.3,"Euphoric,Focused,Relaxed,Sleepy,Uplifted",Sweet
Coconut-Oil,hybrid,3.0,"Aroused,Happy,Relaxed,Uplifted,Creative","Pungent,Flowery,Tropical"
Cold-Creek-Kush,hybrid,4.3,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Woody,Pine,Earthy"
Colombian-Gold,sativa,4.5,"Happy,Euphoric,Energetic,Uplifted,Talkative","Earthy, Pungent, Spicy,Herbal"
Colombian-Mojito,sativa,5.0,"Aroused,Talkative,Tingly,Uplifted,Creative","Citrus,Minty,Sweet"
Colorado-Bubba,indica,4.6,"Relaxed,Happy,Sleepy,Uplifted,Creative","Pine,Mango,Pineapple"
Colorado-Chem,hybrid,4.4,"Relaxed,Uplifted,Euphoric,Happy,Tingly","Sweet,Skunk,Earthy"
Colorado-Clementines,indica,4.5,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Citrus,Orange,Earthy"
Commerce-City-Kush,indica,4.3,"Relaxed,Sleepy,Euphoric,Happy,Talkative","Diesel,Flowery,Sweet"
Concord-Grape-Blockhead,hybrid,4.3,"Creative,Euphoric,Giggly,Happy,Relaxed","Grape,Sweet"
Confidential-Cheese,indica,4.5,"Sleepy,Uplifted,Relaxed,Tingly,Happy","Cheese,Woody,Pine"
Confidential-Wreck,hybrid,4.2,"Hungry,Relaxed,Tingly,Uplifted,Creative"," Earthy,Citrus, Lemon"
Congo,sativa,5.0,"Uplifted,Energetic,Euphoric,Happy,Talkative","Diesel,Sweet,Ammonia"
Connie-Chung,hybrid,4.2,"Uplifted,Relaxed,Happy,Sleepy,Creative","Sweet,Pine,Earthy"
Conspiracy-Kush,indica,4.6,"Relaxed,Happy,Sleepy,Uplifted,Giggly","Spicy,Herbal, Berry, Earthy"
Cookie-Breath,hybrid,5.0,"Happy,Relaxed,Uplifted,Giggly,Euphoric","Pungent,Sweet,Earthy"
Cookie-Dough,hybrid,4.5,"Relaxed,Happy,Euphoric,Giggly,Hungry","Sweet,Vanilla,Earthy"
Cookie-Jar,hybrid,4.6,"Relaxed,Sleepy,Euphoric,Hungry,Uplifted","Pungent,Flowery,Sweet"
Cookie-Monster,indica,4.5,"Relaxed,Happy,Hungry,Sleepy,Euphoric","Flowery,Sweet,Earthy"
Cookie-Wreck,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Focused","Pungent,Sweet,Earthy"
Cookies-And-Cream,hybrid,4.6,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Sweet,Vanilla,Earthy"
Cookies-And-Dream,hybrid,4.5,"Uplifted,Relaxed,Happy,Euphoric,Giggly","Berry,Citrus,Sweet"
Cookies-Kush,indica,4.5,"Relaxed,Happy,Euphoric,Hungry,Sleepy","Pungent,Sweet,Earthy"
Copper-Kush,indica,3.9,"Relaxed,Euphoric,Happy,Uplifted,Tingly","Pungent,Woody,Earthy"
Corleone-Kush,indica,4.6,"Relaxed,Euphoric,Happy,Hungry,Sleepy","Earthy, Spicy,Herbal, Flowery"
Cornbread,indica,4.6,"Relaxed,Euphoric,Hungry,Happy,Sleepy","Citrus,Lemon,Woody"
Cosmic-Collision,sativa,4.2,"Uplifted,Energetic,Talkative,Euphoric,Relaxed","Minty,Sweet,Earthy"
Cotton-Candy-Kush,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Energetic","Berry,Flowery,Sweet"
Cotton-Purple-Chem,hybrid,4.4,"Relaxed,Uplifted,Euphoric,Happy,Tingly","Berry,Sweet,Earthy"
Cowboy-Kush,hybrid,4.8,"Happy,Uplifted,Euphoric,Relaxed,Creative","Diesel,Pine,Earthy"
Cracker-Jack,sativa,4.2,"Energetic,Creative,Focused,Happy,Euphoric","Citrus,Woody,Sweet"
Crater-Lake,hybrid,4.6,"Happy,Uplifted,Talkative,Relaxed,Creative","Pungent,Citrus,Pine"
Crazy-Miss-Hyde,hybrid,4.9,"Uplifted,Happy,Euphoric,Relaxed,Creative","Butter,Sweet,Vanilla"
Cream-Caramel,indica,4.2,"Relaxed,Happy,Sleepy,Tingly,Focused","Honey,Butter,Sweet"
Crimea-Blue,hybrid,4.3,"Happy,Uplifted,Euphoric,Sleepy,Creative","Blueberry,Berry,Tea"
Critical-47,hybrid,4.3,"Relaxed,Sleepy,Happy,Giggly,Talkative","Honey,Sweet,Skunk"
Critical-Bilbo,hybrid,4.4,"Relaxed,Happy,Hungry,Sleepy,Euphoric","Tobacco,Sweet,Earthy"
Critical-Cheese,hybrid,4.2,"Euphoric,Focused,Happy,Relaxed,Energetic","Pungent,Cheese,Earthy"
Critical-Haze,hybrid,4.3,"Relaxed,Happy,Uplifted,Hungry,Giggly","Citrus,Pine,Earthy"
Critical-Hog,indica,4.2,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Flowery,Woody,Earthy"
Critical-Jack,hybrid,4.4,"Energetic,Creative,Happy,Focused,Uplifted","Citrus,Woody,Pine"
Critical-Kali-Mist,sativa,4.6,"Creative,Focused,Uplifted,Happy,Euphoric","Sweet,Pine,Earthy"
Critical-Kush,indica,4.5,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Pungent,Sweet,Earthy"
Critical-Mass,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Pungent,Sweet,Earthy"
Critical-Plus,hybrid,4.2,"Relaxed,Happy,Hungry,Sleepy,Creative","Woody, Spicy,Herbal, Pungent"
Critical-Plus-20,indica,4.2,"Happy,Relaxed,Uplifted,Euphoric,Aroused","Lemon,Pine,Earthy"
Critical-Sensi-Star,indica,4.2,"Relaxed,Sleepy,Happy,Uplifted,Euphoric","Citrus,Lemon,Sweet"
Critical-Skunk,hybrid,4.5,"Happy,Relaxed,Creative,Hungry,Aroused","Skunk,Earthy"
Critical-Widow,hybrid,4.3,"Relaxed,Euphoric,Uplifted,Focused,Sleepy","Pungent,Citrus,Sweet"
Critters-Cookies,hybrid,3.5,"Uplifted,Tingly,Relaxed,Euphoric,Aroused","Pungent,Lemon,Earthy"
Cronuts,hybrid,4.7,"Uplifted, Energized, Euphoric"," Woody, Sweet,Earthy"
Crosswalker,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Creative","Blueberry,Sweet,Pine"
Crouching-Tiger-Hidden-Alien,indica,4.8,"Relaxed,Happy,Euphoric,Tingly,Uplifted","Pine, Spicy,Herbal, Earthy"
Crown-Og,indica,4.7,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Diesel,Pepper,Earthy"
Crown-Royale,indica,4.7,"Relaxed,Happy,Euphoric,Sleepy,Aroused","Berry,Flowery,Sweet"
Crunch-Berry-Kush,hybrid,4.4,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Berry,Sweet,Honey"
Crypt,hybrid,4.4,"Relaxed,Euphoric,Focused,Happy,Uplifted","Pungent,Cheese,Sweet"
Crystal-Coma,sativa,4.6,"Happy,Uplifted,Euphoric,Focused,Creative","Citrus,Flowery,Earthy"
Crystal-Gayle,hybrid,4.4,"Focused,Creative,Euphoric,Happy,Hungry","Diesel,Skunk,Earthy"
Crystalberry,indica,4.5,"Aroused,Relaxed,Uplifted,Giggly,Happy","Blueberry,Berry,Grape"
Cuvee,indica,4.5,"Euphoric,Happy,Relaxed,Giggly,Tingly","Berry,Grape,Earthy"
Dairy-Queen,hybrid,4.4,"Happy,Relaxed,Euphoric,Uplifted,Creative","Cheese,Sweet,Earthy"
Dakini-Kush,indica,4.5,"Relaxed,Sleepy,Happy,Euphoric,Giggly","Earthy, Coffee, Spicy,Herbal"
Damn-Sour,sativa,4.0,"Hungry,Happy,Tingly,Uplifted,Creative","Ammonia,Sweet,Earthy"
Damnesia,hybrid,4.2,"Relaxed,Happy,Euphoric,Uplifted,Energetic","Spicy,Herbal, Pepper, Earthy"
Dance-World,sativa,4.6,"Happy,Relaxed,Uplifted,Euphoric,Talkative","Earthy, Citrus, Spicy,Herbal"
Dancehall,hybrid,4.6,"Happy,Relaxed,Uplifted,Energetic,Creative","Citrus,Flowery,Earthy"
Dank-Schrader,indica,4.9,"Relaxed,Happy,Uplifted,Euphoric,Hungry","Earthy,Pine,Tropical"
Dank-Sinatra,hybrid,5.0,"Happy,Uplifted,Relaxed,Sleepy,Euphoric","Berry,Diesel,Tropical"
Dark-Blue-Dream,hybrid,4.6,"Happy,Euphoric,Relaxed,Uplifted,Giggly","Blueberry,Berry,Sweet"
Dark-Side-Of-The-Moon,indica,4.6,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Berry, Earthy, Spicy,Herbal"
Dark-Star,indica,4.4,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Pungent,Skunk,Earthy"
Darkside-Og,indica,4.6,"Sleepy,Relaxed,Euphoric,Hungry,Happy","Citrus,Lemon,Earthy"
Darth-Vader-Og,indica,4.4,"Relaxed,Sleepy,Euphoric,Hungry,Tingly","Grape,Pine,Earthy"
Dawgfather-Og,hybrid,4.1,"Sleepy,Relaxed","Spicy,Herbal, Pepper, Pungent"
Dawgs-Waltz,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Happy,Sleepy","Sweet,Skunk,Earthy"
Day-Tripper,hybrid,4.0,"Uplifted,Euphoric,Happy,Relaxed,Sleepy","Blueberry,Strawberry,Pineapple"
Deadhead-Og,hybrid,4.4,"Uplifted,Relaxed,Happy,Euphoric,Creative","Diesel,Pine,Earthy"
Deadwood,indica,3.9,"Happy,Talkative,Uplifted,Giggly,Relaxed","Berry,Lavender,Earthy"
Death-Bubba,indica,4.7,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Pungent,Sweet,Earthy"
Death-Star,indica,4.6,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Pungent,Diesel,Earthy"
Deathstar-Og,indica,4.6,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Diesel,Skunk,Earthy"
Deep-Cheese,hybrid,4.3,"Relaxed,Uplifted,Creative,Hungry,Talkative","Pungent,Cheese,Skunk"
Deep-Chunk,indica,4.3,"Happy,Relaxed,Sleepy,Uplifted,Creative","Ammonia,Earthy,Plum"
Deep-Purple,indica,3.9,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Sweet,Grape,Earthy"
Deep-Sleep,indica,4.5,"Relaxed,Euphoric,Sleepy,Tingly,Happy","Pungent,Sweet,Earthy"
Delahaze,sativa,4.5,"Uplifted,Happy,Energetic,Focused,Talkative","Citrus,Sweet,Mango"
Denver-Maple,indica,4.4,"Relaxed,Sleepy,Giggly,Tingly,Uplifted","Sweet,Pine,Earthy"
Desert-Star,hybrid,4.8,"Hungry,Sleepy,Tingly,Uplifted,Creative",Earthy
Destroyer,sativa,4.9,"Energetic,Uplifted,Euphoric,Giggly,Happy","Sweet,Lavender,Ammonia"
Devil-Fruit,indica,4.4,"Relaxed,Happy,Euphoric,Focused,Hungry","Spicy,Herbal, Pepper, Sweet"
Devils-Tit,sativa,4.1,"Energetic,Focused,Relaxed,Talkative,Tingly","Spicy,Herbal, Pepper, Earthy"
Diablo,indica,4.1,"Happy,Tingly,Euphoric,Creative,Uplifted","Sweet, Earthy, Spicy,Herbal"
Diamond-Og,indica,4.5,"Relaxed,Sleepy,Happy,Uplifted,Euphoric","Earthy, Spicy,Herbal, Pine"
Diamond-Socks,hybrid,4.3,"Happy,Relaxed"," Sweet, Fruity,Earthy"
Diamond-Valley-Kush,hybrid,5.0,"Happy,Relaxed,Sleepy,Creative,Energetic","Earthy, Spicy,Herbal, Pungent"
Diesel-Duff,hybrid,3.8,"Euphoric,Happy,Talkative,Giggly,Uplifted","Honey,Flowery,Sweet"
Dieseltonic,hybrid,4.1,"Relaxed,Sleepy,Giggly,Focused,Uplifted","Diesel,Woody,Earthy"
Digweed,indica,3.9,"Happy,Uplifted,Relaxed,Sleepy,Giggly","Earthy, Skunk, Spicy,Herbal"
Dinachem,hybrid,4.7,"Talkative,Relaxed,Happy,Energetic,Giggly","Pungent,Earthy,Tropical"
Dirty-Girl,sativa,4.5,"Uplifted,Happy,Focused,Euphoric,Energetic","Citrus,Lemon,Sweet"
Dirty-Old-Bastard,indica,5.0,"Relaxed, Happy, Social","Spicy,Herbal, Flowery"
Dirty-Widow,hybrid,4.2,"Uplifted,Energetic,Talkative,Tingly,Euphoric","Pungent,Sweet,Earthy"
Disney-Blue,hybrid,4.5,"Happy,Creative,Energetic,Focused,Giggly","Apple,Sweet,Lime"
Dizzy-Og,hybrid,5.0,"Giggly,Relaxed,Uplifted,Happy,Hungry","Sweet, Pungent, Spicy,Herbal"
Dj-Andy-Williams,sativa,5.0,"Creative,Energetic"," Vanilla,Citrus, Herbal"
Dj-Short-Blueberry,indica,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Blueberry,Berry,Sweet"
Dj-Smoke,hybrid,4.0,"Euphoric,Relaxed,Aroused,Talkative,Uplifted","Citrus,Sweet,Lavender"
Django,sativa,4.6,"Energetic,Uplifted,Happy,Talkative,Euphoric","Flowery,Sweet,Earthy"
Do-Over-Og,hybrid,4.7,"Talkative,Uplifted,Creative,Euphoric,Happy"," Spicy,Sweet, Pine"
Do-Si-Dos,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Pungent,Sweet,Earthy"
Doctor-Doctor,sativa,5.0,"Relaxed,Uplifted,Focused,Happy,Aroused","Citrus,Strawberry,Sweet"
Dog-Shit,hybrid,4.3,"Creative,Euphoric,Relaxed,Uplifted,Happy","Pungent,Berry,Earthy"
Dogwalker-Og,hybrid,4.7,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Pungent,Skunk,Earthy"
Dolla-Sign-Og-Kush,indica,5.0,"Creative,Sleepy,Uplifted,Energetic,Hungry","Pungent,Flowery,Sweet"
Domino,indica,4.0,"Sleepy,Happy,Tingly,Uplifted,Euphoric","Spicy, Pepper"
Don-Shula,hybrid,5.0,"Uplifted,Euphoric,Relaxed,Talkative,Happy","Citrus,Diesel,Tropical"
Donegal,hybrid,3.8,"Euphoric,Relaxed,Sleepy,Talkative,Energetic","Pungent,Woody,Earthy"
Donna-Og,hybrid,4.6,"Creative,Euphoric,Relaxed,Happy,Hungry","Pungent,Citrus,Sweet"
Doobiebird-Daydream,hybrid,4.6,"Euphoric,Tingly,Happy,Talkative,Relaxed","Blueberry,Sweet,Earthy"
Doox,sativa,4.4,"Uplifted,Energetic,Happy,Focused,Tingly","Citrus,Sweet,Lime"
Dopium,hybrid,4.5,"Relaxed,Euphoric,Focused,Energetic,Uplifted","Pungent,Pine,Earthy"
Dorit,indica,4.4,"Relaxed,Euphoric,Uplifted,Tingly,Sleepy","Ammonia, Spicy,Herbal, Minty"
Double-Barrel-Og,hybrid,4.2,"Relaxed,Euphoric,Hungry,Sleepy,Uplifted","Citrus,Earthy"
Double-D,indica,4.3,"Euphoric,Happy,Uplifted,Aroused,Energetic","Pungent,Sweet,Skunk"
Double-Diesel,sativa,4.2,"Creative,Happy,Focused,Energetic,Euphoric","Citrus,Diesel,Lime"
Double-Dream,hybrid,4.5,"Uplifted,Relaxed,Happy,Focused,Euphoric","Berry,Sweet,Earthy"
Double-Dutch,hybrid,4.3,"Hungry,Uplifted,Talkative,Creative,Energetic","Tar,Sweet,Earthy"
Double-Mint,indica,5.0,"Uplifted,Euphoric,Sleepy,Talkative,Tingly","Minty, Lemon"
Double-Og,indica,4.6,"Sleepy,Happy,Euphoric,Relaxed,Focused","Diesel,Skunk,Earthy"
Double-Purple-Doja,indica,4.7,"Relaxed,Creative,Sleepy,Happy,Euphoric","Pungent,Grape,Earthy"
Double-Tangie-Banana,hybrid,4.4,"Happy,Uplifted,Relaxed,Energetic,Euphoric","Citrus,Orange,Sweet"
Double-Tap,indica,5.0,"Talkative,Happy,Relaxed","Berry, Sweet, Grape"
Dougs-Varin,sativa,5.0,"Uplifted,Creative,Energetic,Focused,Talkative"," Woody,Citrus, Spicy"
Dr-Bubbles,hybrid,4.0,"Focused, Social, Euphoric","Flowery, Fruity, Earthy, Sweet"
Dr-Feelgood,hybrid,4.5,"Happy,Relaxed,Tingly,Euphoric,Sleepy","Nutty,Woody,Earthy"
Dr-Funk,indica,4.6,"Relaxed,Happy,Tingly,Sleepy,Aroused","Blueberry,Berry,Earthy"
Dr-Grinspoon,sativa,4.8,"Happy,Energetic,Uplifted,Creative,Talkative","Pungent,Citrus,Earthy"
Dr-Quantum,hybrid,4.4,"Uplifted, Happy, Creative","Citrus, Earthy, Sour"
Dr-Who,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Berry,Sweet,Earthy"
Dragon-Og,hybrid,4.4,"Uplifted,Happy,Relaxed,Euphoric,Focused","Berry,Diesel,Tropical"
Dragons-Breath,hybrid,4.6,"Happy,Uplifted,Talkative,Relaxed,Creative","Spicy,Herbal, Earthy, Skunk"
Dreadlock,hybrid,4.0,"Focused,Relaxed,Talkative,Tingly,Uplifted","Sage,Diesel,Earthy"
Dream-Beaver,sativa,4.7,"Happy,Uplifted,Energetic,Talkative,Creative","Pineapple, Woody, Spicy,Herbal"
